Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAccEndTime.
75	0.100000	2.108619	1.719054	59.472000	71.430000	10/17 08:41:33
76	0.100000	2.103194	1.691304	59.450000	72.550000	10/17 08:44:10
77	0.100000	2.074095	1.667983	60.372000	72.660000	10/17 08:46:47


--- Resuming Training ---

Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAccEndTime.
78	0.100000	2.099982	1.745122	59.602000	71.150000	10/17 08:49:46
78	0.100000	2.091883	1.679693	59.824000	73.220000	10/17 08:53:18
79	0.100000	2.088426	1.693577	59.722000	72.380000	10/17 08:53:47
79	0.100000	2.081524	1.685864	60.064000	72.750000	10/17 08:57:27
80	0.100000	2.104345	1.676435	59.610000	72.630000	10/17 08:57:57
80	0.100000	2.091839	1.667784	59.884000	72.750000	10/17 09:01:35
81	0.100000	2.048961	1.681980	60.958000	73.030000	10/17 09:04:16
82	0.100000	2.075890	1.660913	60.154000	73.290000	10/17 09:06:52
83	0.100000	2.083095	1.663699	60.102000	73.130000	10/17 09:09:27
84	0.100000	2.048651	1.702815	60.880000	72.680000	10/17 09:12:02
85	0.100000	2.068833	1.651739	60.238000	74.270000	10/17 09:14:38
86	0.100000	2.063696	1.678630	60.576000	72.740000	10/17 09:17:14
87	0.100000	2.056064	1.719454	60.756000	72.150000	10/17 09:19:51
88	0.100000	2.083953	1.667917	60.258000	73.510000	10/17 09:22:31
89	0.100000	2.083186	1.652576	60.276000	73.500000	10/17 09:25:07
90	0.100000	2.078113	1.680356	60.198000	73.420000	10/17 09:27:46
91	0.100000	2.051729	1.631769	60.926000	74.170000	10/17 09:30:31
92	0.100000	2.053420	1.623588	60.948000	74.810000	10/17 09:33:14
93	0.100000	2.051767	1.642909	60.992000	73.690000	10/17 09:35:57
94	0.100000	2.048344	1.658520	61.242000	73.700000	10/17 09:38:40
95	0.100000	2.061556	1.608733	60.536000	74.530000	10/17 09:41:24
96	0.100000	2.051332	1.665891	60.800000	73.560000	10/17 09:44:07
97	0.100000	2.020321	1.651679	62.064000	74.100000	10/17 09:46:51
98	0.100000	2.042298	1.636574	61.328000	73.810000	10/17 09:49:35
99	0.100000	2.041087	1.636509	61.086000	74.150000	10/17 09:52:18
100	0.100000	2.037275	1.680263	61.358000	73.330000	10/17 09:55:02
101	0.100000	2.040955	1.691146	61.448000	72.780000	10/17 09:57:45
102	0.100000	2.053089	1.650137	61.110000	73.530000	10/17 10:00:26
103	0.100000	2.016907	1.639711	61.934000	74.010000	10/17 10:03:11
104	0.100000	2.034375	1.713264	61.616000	71.900000	10/17 10:05:52
105	0.100000	2.018629	1.668293	61.926000	73.380000	10/17 10:08:33
106	0.010000	2.030920	1.623477	61.614000	73.730000	10/17 10:11:16
107	0.010000	1.812035	1.445175	68.440000	80.180000	10/17 10:13:57
108	0.010000	1.708254	1.420401	71.610000	80.590000	10/17 10:16:39
109	0.010000	1.713753	1.416714	71.408000	80.910000	10/17 10:19:24
110	0.010000	1.659571	1.403480	73.286000	81.060000	10/17 10:22:08
111	0.010000	1.649335	1.400816	73.386000	81.420000	10/17 10:24:55
112	0.010000	1.638486	1.391285	73.762000	81.560000	10/17 10:27:39
113	0.010000	1.624130	1.391259	74.274000	81.640000	10/17 10:30:22
114	0.010000	1.626458	1.383261	74.174000	81.820000	10/17 10:33:05
115	0.010000	1.600462	1.364893	74.860000	81.940000	10/17 10:35:52
116	0.010000	1.600642	1.386790	75.040000	82.360000	10/17 10:38:37
117	0.010000	1.599039	1.380011	75.020000	81.970000	10/17 10:41:20
118	0.010000	1.590402	1.364314	75.208000	82.360000	10/17 10:44:03
119	0.010000	1.578797	1.366739	75.730000	82.670000	10/17 10:46:48
120	0.010000	1.561623	1.359991	76.288000	82.250000	10/17 10:49:32
121	0.010000	1.561043	1.353644	76.170000	82.460000	10/17 10:52:17
122	0.010000	1.551689	1.352551	76.282000	82.550000	10/17 10:55:02
123	0.010000	1.560922	1.354888	76.084000	82.840000	10/17 10:57:47
124	0.010000	1.566589	1.353134	76.236000	82.700000	10/17 11:00:30
125	0.010000	1.539727	1.356733	76.664000	82.870000	10/17 11:03:13
126	0.010000	1.551048	1.348750	76.528000	82.750000	10/17 11:05:54
127	0.010000	1.529744	1.338825	77.072000	82.910000	10/17 11:08:38
128	0.010000	1.551461	1.342290	76.668000	82.770000	10/17 11:11:21
129	0.010000	1.542361	1.349402	76.684000	83.030000	10/17 11:14:07
130	0.010000	1.529411	1.339988	77.288000	82.910000	10/17 11:16:47
131	0.010000	1.521587	1.346447	77.344000	83.000000	10/17 11:19:26
132	0.010000	1.527381	1.332615	77.280000	83.100000	10/17 11:22:03
133	0.010000	1.519907	1.338662	77.536000	83.190000	10/17 11:24:42
134	0.010000	1.507614	1.333965	77.924000	83.100000	10/17 11:27:21
135	0.010000	1.511758	1.338058	77.664000	83.040000	10/17 11:29:59
136	0.010000	1.503033	1.329812	77.936000	83.320000	10/17 11:32:40
137	0.010000	1.485918	1.320239	78.584000	83.310000	10/17 11:35:23
138	0.010000	1.525334	1.338364	77.144000	83.370000	10/17 11:38:14
139	0.010000	1.509618	1.329332	77.610000	83.170000	10/17 11:40:58
140	0.010000	1.499542	1.321055	78.170000	83.240000	10/17 11:43:42
141	0.010000	1.489746	1.339549	78.408000	83.150000	10/17 11:46:29
142	0.010000	1.501831	1.323566	78.144000	83.260000	10/17 11:49:14
143	0.010000	1.495144	1.323140	78.300000	83.180000	10/17 11:51:58
144	0.010000	1.490137	1.315943	78.262000	83.350000	10/17 11:54:44
145	0.010000	1.482643	1.317332	78.656000	83.390000	10/17 11:57:28
146	0.010000	1.489200	1.322917	78.612000	83.680000	10/17 12:00:11
147	0.010000	1.477629	1.324221	78.840000	83.460000	10/17 12:02:53
148	0.010000	1.489548	1.318236	78.598000	83.330000	10/17 12:05:35
149	0.010000	1.471749	1.317718	78.740000	83.450000	10/17 12:08:19
150	0.010000	1.469005	1.318617	79.058000	83.650000	10/17 12:11:01
151	0.010000	1.480283	1.321675	78.744000	83.540000	10/17 12:13:43
152	0.010000	1.478775	1.329435	79.014000	83.000000	10/17 12:16:26
153	0.010000	1.477810	1.318136	78.832000	83.960000	10/17 12:19:10
154	0.010000	1.453347	1.308476	79.766000	83.880000	10/17 12:21:52
155	0.010000	1.490435	1.319288	78.476000	83.580000	10/17 12:24:41
156	0.010000	1.473993	1.320245	78.870000	83.430000	10/17 12:27:29
157	0.010000	1.494327	1.319968	78.396000	83.310000	10/17 12:30:09
158	0.010000	1.468507	1.324450	79.142000	83.350000	10/17 12:32:52
159	0.010000	1.470890	1.322027	79.038000	83.500000	10/17 12:35:32
